ODS,Indicador,Descripción del Indicador,Abreviatura,UnidadMedida,Fuente,Invertir,Instrumental,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Meta2030,Mínimo,Máximo,IDIndicador,MetaODS
4,"Brecha entre cobertura neta urbano-rural en educación preescolar, básica y media","Diferencia en puntos porcentuales entre la cobertura neta para zona urbana y la cobertura neta para zona rural en los niveles de preescolar, básica y media. A medida que la diferencia disminuye refleja condiciones equitativas de acceso al sistema escolar.",brech_educ,Puntos porcentuales,MinEducación - Sistema Integrado de Matrícula (SIMAT),1,1,,,,,,,,,20.6,18.221586241027,15.52766937900023,13.508907543309935,10.75639004062161,8.59,7.59,8.21,8.6,9.0,,,,5.47,3.0,30.0,4.5.1.C,4.5
4,Tasa de analfabetismo para la población de 15 años y más,"Mide el porcentaje de la población de 15 años y más que no sabe leer ni escribir, respecto al total de la población de 15 años y más.",anal_mas15,Porcentaje,DANE - Gran Encuesta Integrada de Hogares (GEIH),1,1,,0.07384986391,0.07574818927,0.07526130583,0.07021084337,0.06868447969,0.07097432341,0.06901070814,0.06654900574,0.06784583007,0.0666579858,0.06419472188,0.06517043746,0.06266413867,0.05812847841,0.05754954723,0.053461,0.052433,0.049074854428,0.0475,0.0436,0.03,0.0,0.08,4.6.1.C,4.6
4,Porcentaje de matrícula oficial con conexión a internet,"Mide el porcentaje de estudiantes de sedes educativas oficiales con conexión a internet, respecto al total de estudiantes en sedes educativas oficiales.",escu_inter,Porcentaje,"MinEducación - Sistema Integrado de Matrícula (SIMAT)

MinTIC
MinEducación - Reporte de Conectividad por Sede Educativa",0,1,,,,,,,,,,0.87,0.89,0.65,0.64,0.6898,0.67,0.741,0.78,0.63,0.7,,,1.0,0.6,1.0,4.a.1.C,4.a
5,Porcentaje de mujeres que han sido forzadas físicamente por otra persona diferente a su esposo o compañero a tener relaciones o actos sexuales,"Mide el porcentaje de mujeres de 13 a 49 años que alguna vez han experimentado violencia sexual física por otra persona diferente a la pareja o al compañero para tener relaciones o llevar a cabo actos sexuales, respecto al total de encuestadas.",sexo_parej,Porcentaje,Profamilia - Encuesta Nacional de Demografía y Salud (ENDS),1,1,0.066,,,,,0.061,,,,,0.057,,,,,0.045,,,,,,0.025,0.01,0.08,5.2.2.P,5.2
5,"Porcentaje de mujeres, alguna vez unidas, que han experimentado alguna violencia física por parte del esposo o compañero","Mide el porcentaje de mujeres de 13 a 49 años, alguna vez unidas, que han experimentado alguna violencia física por parte del esposo o compañero, respecto al total de encuestadas.",viole_parej,Porcentaje,Profamilia - Encuesta Nacional de Demografía y Salud (ENDS),1,1,0.411,,,,,0.275,,,,,0.277,,,,,0.319,,,,,,0.27,0.1,0.5,5.2.3.P,5.2
5,"Porcentaje de mujeres, alguna vez unidas, que reportaron violencia psicológica por parte de su pareja","Mide el porcentaje de mujeres de 13 a 49 años que han experimentado violencia psicológica por parte de su esposo o compañero, respecto al total de encuestadas.",psico_parej,Porcentaje,Profamilia - Encuesta Nacional de Demografía y Salud (ENDS),1,1,0.649,,,,,0.657,,,,,0.653,,,,,0.641,,,,,,0.5,0.25,0.7,5.2.5.P,5.2
5,Tasa de homicidio de mujeres,"Mide el número de homicidios de mujeres ocurridos en Colombia al año, por cada 100.000 habitantes de sexo femenino.",homi_muje,Tasa por cada 100.000 mujeres,"MinDefensa - Sistema de Información Estadística, Delicuencial, Contravencional y Operativa (SIEDCO)",1,1,,,,9.12,7.59,6.87,6.02,6.23,5.61,5.53,5.34,5.78,5.89,5.13,4.85,4.4,4.2060608364,4.3159652001,4.3086287842,4.3,3.8,2.9,1.4,11.0,5.2.6.C,5.2
5,Porcentaje de mujeres entre 20 y 24 años que estaban casadas o mantenían una unión estable antes de cumplir los 18 años,"Mide el porcentaje de mujeres entre los 20 y 24 años que estaban casadas o mantenían una unión estable antes de cumplir los 18 años, respecto al total de encuestadas.",casad_men18,Porcentaje,Profamilia - Encuesta Nacional de Demografía y Salud (ENDS),1,1,0.224,,,,,0.194,,,,,0.214,,,,,0.206,,,,,,0.177,0.05,0.3,5.3.1.P,5.3
5,Porcentaje de mujeres candidatas del total de personas candidatizadas,"Mide el porcentaje de mujeres que se presentan como candidatas a cargos de elección popular (alcaldías, gobernaciones, asambleas departamentales, consejos municipales/distritales), respecto al total de personas que se candidatizan en cada elección.",muje_candi,Porcentaje,Registraduría Nacional del Estado Civil,0,0,,,,0.153113060400956,,,,0.19422147169724,,,,0.360731505235733,,,,0.366,,,,0.37,,0.5,0.1,0.6,5.5.1.P,5.5
5,Tasa de fecundidad específica en mujeres adolescentes de 15 a 19 años,"Mide el número anual de nacimientos para mujeres de 15 a 19 años, por cada 1.000 mujeres de ese grupo de edad.",fecun_adole,Tasa por cada 1.000 mujeres de 15 a 19 años,DANE - Estadísticas Vitales (EEVV),1,1,81.97263110934664,78.38554275446141,74.66605112353349,75.25899145300846,76.36867486406882,75.57776511919576,75.94034306223847,75.90943271234217,76.04190507058176,73.97484309242449,68.84740065507081,69.97146075644369,72.58797141554693,69.25009773707188,67.43845224605992,63.9,61.56,61.11,58.81,57.95,44.58,40.0,20.0,90.0,5.6.1.P,5.6
5,Brecha de ingreso mensual promedio entre hombres y mujeres,"Mide la diferencia porcentual entre el ingreso laboral mensual de hombres y mujeres. El ingreso laboral es la suma de los ingresos de la primera actividad, los ingresos por segunda actividad y los ingresos en especie.",brech_ingre,Porcentaje,DANE - Gran Encuesta Integrada de Hogares (GEIH),1,1,,,0.176102769553749,0.207489095835863,0.201934077984348,0.181367984252434,,,0.189010593387949,0.187978097553665,0.212331630823785,0.202731708135569,0.23281501266055,0.214134313572319,0.207718995669933,0.204,0.1874,0.175,0.153,0.159,,0.15,0.0,0.3,5.a.1.C,5.a
5,Porcentaje de mujeres que usan internet,"Mide el porcentaje de mujeres mayores de 5 años que usan internet, respecto al total de mujeres mayores de 5 años.",muje_inter,Porcentaje,DANE - Encuesta Nacional de Calidad de Vida (ECV),0,1,,,,,,,,,,,,,0.483,0.511494540999887,0.523443563008427,0.552,0.582,,0.649944258,0.659,,0.94,0.4,1.0,5.b.2.P,5.b
6,Acceso a agua potable,"Mide el porcentaje de la población que accede a métodos de abastecimiento de agua adecuados, respecto al total de población. ",acces_agua,Porcentaje,DANE - Gran Encuesta Integrada de Hogares (GEIH),0,1,,,90.27,90.67,90.78,91.28,,90.98,90.87,90.25,90.76,90.88,91.42,91.49,91.81,91.77,92.29,92.37,91.94,92.34,93.2,100.0,88.0,100.0,6.1.1.P,6.1
6,Acceso a agua potable (suelo rural),"Mide el porcentaje de la población que accede a métodos de abastecimiento de agua adecuados, respecto a la población total. Los métodos de abastecimiento de agua adecuados en suelo rural son los provenientes del servicio público domiciliario de acueducto y las soluciones alternativas para el aprovisionamiento de agua para consumo humano y doméstico (decreto 1898 de 02016).",agua_rural,Porcentaje,DANE - Gran Encuesta Integrada de Hogares (GEIH),0,1,,,0.7242,0.7242,0.6701,0.732,,0.6933,0.7258,0.7142,0.7253,0.7286,0.7383,0.7334,0.7316,0.7429,0.7418,0.739,0.715354754755,0.7329,0.762,1.0,0.65,1.0,6.1.3.P,6.1
6,Porcentaje de la población con acceso a métodos de saneamiento adecuados,"Mide el porcentaje de la población que accede a métodos de saneamiento gestionados de forma segura, respecto al total de población.",acces_sanea,Porcentaje,DANE - Gran Encuesta Integrada de Hogares (GEIH),0,1,,,0.8333,0.8322,0.8249,0.8458,,0.8568,0.862,0.8388,0.843,0.849657317031025,0.858116065497131,0.86224338811038,0.864654438885079,0.874,0.8827,0.8803,0.8823,0.8868,,0.926,0.8,1.0,6.2.1.P,6.2
6,Porcentaje de aguas residuales urbanas domésticas tratadas de manera segura,Mide el porcentaje de aguas residuales urbanas domésticas tratadas de acuerdo con el caudal de aguas residuales generadas,agua_resid,Porcentaje,"Superintendencia de Servicios Públicos Domiciliarios – Sistema Único de Información (SUI), Requerimientos al prestador y visitas de inspección",0,1,,,,,,,,,,,0.298,0.306,0.331,0.3172,0.3668,0.373,0.422,0.426,0.4286,0.486,,0.686,0.2,1.0,6.3.1.P,6.3
6,Porcentaje de puntos de monitoreo con categoría buena o aceptable del Índice de Calidad de Agua (ICA),"Mide el porcentaje de puntos de monitoreo de la red básica nacional de calidad de agua del IDEAM con categoría buena o aceptable del Índice de Calidad de Agua, calculado con 6 variables.",agua_calid,Porcentaje,IDEAM,0,1,,,,,,,,,,,,0.32,0.27,0.34,0.41,0.36,0.41,0.26,0.46,0.32,,0.5,0.2,1.0,6.3.3.C,6.3
6,Productividad hídrica,Mide una aproximación de la presión que ejerce la economía sobre los recursos hídricos.,prod_hidri,Pesos / m^3,DANE - Cuenta Ambiental y económica de flujo del agua,0,1,,,,,,,,,,,3004.0,2840.0,3004.0,3183.0,3256.0,3334.0,4532.1924688664,3856.4707183556,4085.0,,,4400.0,2000.0,8000.0,6.4.2.C,6.4
7,Cobertura de energía eléctrica,"Mide la relación porcentual entre las viviendas con servicio y las viviendas totales.
(Nota 1: una vez se determine el número de viviendas, a partir del próximo censo, se ajustarán la línea base y metas 2018.)",cober_energ,Porcentaje,Unidad de Planeación Minero Energética (UPME) - Plan indicativo de expansión de Cobertura (PIEC),0,1,0.8737623126644753,0.8778058326738672,0.8836083808921249,0.8967952633627405,0.8989389284477838,0.9184642798103085,0.9288614589655921,0.9370822260500742,0.9441562220528626,0.949404122514881,0.9548207234120383,0.9578644872609444,0.9610223387772572,0.963792962361738,0.9666927443178005,0.969,0.97,0.9695,0.9653,0.968,,1.0,0.85,1.0,7.1.1.C,7.1
